	A1004	Arecibo 	Arecibo Observatory
1104	A1172	UNM Dep Phy Ast	University of New Mexico, Department of Physics and Astronomy
1104	A1173	UNM Dep Earth Plan Sci	University of New Mexico, Department of Earth and Planetary Sciences
	1105	Sandia Natl Lab	Sandia National Laboratories
1105	A1214	Sandia Natl Lab Livermore	Sandia National Laboratories, Livermore
	1109	Charles Sturt U	Charles Sturt University
	1132	Alfred U	Alfred University
	1139	Abilene Christian U	Abilene Christian University
	1142	Grand Valley St U	Grand Valley State University
	1146	Cedar Crest Coll	Cedar Crest College
	1150	Alma Coll	Alma College
	1166	Univ Sys Georgia	University System of Georgia
1166	1165	Georgia SW St U	Georgia Southwestern State University
1166	124314	Skidaway Inst Ocean	Skidaway Institute of Oceanography
1166	1355	U Georgia	University of Georgia
1166	1372	Georgia Inst Tech	Georgia Institute of Technology
1166	1373	Georgia St U	Georgia State University
1166	15609	Sthrn Poly U	Southern Polytechnic University
1166	15612	Clayton St U	Clayton State University
1166	15614	Valdosta St U	Valdosta State University
1166	15617	Kennesaw St U	Kennesaw State University
1166	2291	U W Georgia	University of West Georgia
1166	2634	Columbus St U	Columbus State University
1166	32193	U N Georgia	University of North Georgia
	1177	IA St U	Iowa State University
1177	17210	Ames Res Lab	Ames Research Laboratory
1177	A1110	IA St Dep Phy Ast	Iowa State University, Department of Physics and Astronomy
	1180	Amherst Coll	Amherst College
1180	A1027	Five Coll Rad Ast Obs	Five College Radio Astronomy Observatory
	1183	Hampshire Coll	Hampshire College
1183	A1027	Five Coll Rad Ast Obs	Five College Radio Astronomy Observatory
	1190	VU Amsterdam	Vrije Universiteit Amsterdam
1190	416511	VU Amsterdam Dep Earth Sci	Vrije Universiteit Amsterdam, Department of Earth Sciences
1190	A1237	VU Amsterdam Dep Phy Ast	Vrije Universiteit Amsterdam, Department of Physics and Astronomy
	1234	U van Amsterdam	Universiteit van Amsterdam
1234	226185	U Amsterdam Inst Phy	University of Amsterdam, Institute of Physics
1234	A1238	Ast Inst Anton Pannekoek	University of Amsterdam, Astronomical Institute Anton Pannekoek
	1244	USFWS	US Fish and Wildlife Service
	1259	UMich Ann Arbor	University of Michigan, Ann Arbor
1259	14711	UMich Dearborn	University of Michigan, Dearborn
1259	14712	UMich Flint	University of Michigan, Flint
1259	242913	UMich Dep Phy	University of Michigan, Ann Arbor, Department of Physics
1259	A1079	UMich Dep Ast	University of Michigan, Ann Arbor, Department of Astronomy
1259	A1080	UMich Rad Ast Obs	University of Michigan, Ann Arbor, Radio Astronomy Observatory
1259	A1081	UMich Sp Phy Res Lab	University of Michigan, Ann Arbor, Space Physics Research Laboratory
1259	A1082	UMich Dep Atmos Ocean Sp Sci	University of Michigan, Ann Arbor, Department of Atmospheric Oceanic and Space Sciences
1259	A1083	UMich Dep Geo Sci	University of Michigan, Ann Arbor, Department of Geological Sciences
	1260	US EPA	US Environmental Protection Agency
1260	138030	US EPA Res Tri Park	US Environmental Protection Agency, Research Triangle Park
	1263	Bard Coll	Bard College
	1268	St Johns Coll Annapolis	Saint Johns College, Annapolis
	1270	St Francis Xavier U	Saint Francis Xavier University, Canada
	1279	Lawrence U	Lawrence University
	1286	CalState U Sys	California State University System
1286	10695	CalState Sacramento	California State University, Sacramento
1286	1285	Humboldt St U	Humboldt State University
1286	14662	CalState Bakersfield	California State University, Bakersfield
1286	14663	CalState Chico	California State University, Chico
1286	14665	CalState Fresno	California State University, Fresno
1286	14666	CalState Fullerton	California State University, Fullerton
1286	14667	CalState Hayward	California State University, Hayward
1286	14668	CalState Long Beach	California State University, Long Beach
1286	14669	CalState Los Angeles	California State University, Los Angeles
1286	14670	CalState Monterey Bay	California State University, Monterey Bay
1286	14671	CalState Northridge	California State University, Northridge
1286	14672	CalState San Bernardino	California State University, San Bernardino
1286	14673	CalState San Marcos	California State University, San Marcos
1286	14674	CalState Turlock	California State University, Turlock
1286	14702	CalState Dominguez Hills	California State University, Dominguez Hills
1286	6647	Cal Poly Pomonoa	California State Polytechnic University, Pomona
1286	6960	Sonoma St U	Sonoma State University
1286	7117	SDSU	San Diego State University
1286	7147	SFSU	San Francisco State University
1286	7161	San Jose St U	San Jose State University
1286	7162	Santa Clara U	Santa Clara University
1286	7173	Cal Poly SLO	California State Polytechnic University, San Luis Obisp
	1287	Marymount U	Marymount University
	1291	ANL	Argonne National Laboratory
1291	A1125	ANL Phy Div	Argonne National Laboratory, Physics Division
	1314	Raytheon	Raytheon Corporation
1314	A1220	Raytheon CA	Raytheon Corporation, California
1314	A1221	Raytheon MD	Raytheon Corporation, Maryland
1314	A1222	Raytheon AZ	Raytheon Corporation, Arizona
1314	A1223	Hughes Aircraft	Hughes Aircraft
	1319	U New England Armidale	University of New England Armidale
	1348	Benedictine Coll	Benedictine College
	1349	Athabasca U	Athabasca University, Canada
	1354	Ohio U	Ohio University, Athens
1354	A1428	Ohio U Dep Phy Ast	Ohio University, Department of Physics and Astronomy
1355	17219	U Georgia Savannah River Lab	University of Georgia, Savannah River Laboratory
1355	A1068	U Georgia Dep Phy Ast	University of Georgia, Department of Physics and Astronomy
	1357	Clark Atlanta U	Clark Atlanta University
	1371	Emory U	Emory University
1372	A1063	GIT Ctr Reltv Astrop	Georgia Institute of Technology, Center for Relativistic Astrophysics
1372	A1064	GIT Earth Atmos Sci	Georgia Institute of Technology, Earth and Atmospheric Sciences
1372	A1065	GIT Dep Phy	Georgia Institute of Technology, Department of Physics
1373	A1066	Georgia St U Dep Phy Ast	Georgia State University, Department of Physics and Astronomy
	1375	Spelman Coll	Spelman College
	1383	Auburn U	Auburn University
1383	A1100	Auburn Dep Phy	Auburn University, Department of Physics
	1410	Auckland U Tech	Auckland University of Technology
	1415	U Auckland	University of Auckland
1415	A1652	U Auckland Dep Phy	University of Auckland, Department of Physics
1438	114093	UCB Dep Earth Plan Sci	University of California, Berkeley, Department of Earth and Planetary Science
1438	193248	UCB Dep Chem	University of California, Berkeley, Department of Chemistry
1438	252113	UCB Dep Phy	University of California, Berkeley, Department of Physics
1438	A1188	UCB Dep Ast	University of California, Berkeley, Department of Astronomy
1438	A1189	UCB Sp Sci Lab	University of California, Berkeley, Space Sciences Laboratory
1438	A1190	UCB Dep Geol Geop	University of California, Berkeley, Department of Geology and Geophysics
	1439	U Cal Sys	University of California System
1439	1438	UCal Berkeley	University of California, Berkeley
1439	33244	UCal Merced	University of California, Merced
1439	8783	UCLA	University of California, Los Angeles
1439	8784	UCSD	University of California, San Diego
1439	8785	UCSF	University of California, San Francisco
1439	8786	UCSB	University of California, Santa Barbara
1439	8787	UCSC	University of California, Santa Cruz
1439	8788	UCI	University of California, Irvine
1439	8789	UCD	University of California, Davis
1439	8790	UCR	University of California, Riverside
	1445	Babson Coll	Babson College
	1466	JHU	Johns Hopkins University
1466	214886	JHU Dep Earth Plan Sci	Johns Hopkins University, Department of Earth and Planetary Sciences
1466	310920	JHU Dep Phy Ast	Johns Hopkins University, Department of Physics and Astronomy
1466	70603	JHU APL	Johns Hopkins, Applied Physics Laboratory
1466	70603	JHU APL	Johns Hopkins, Applied Physics Laboratory
	1485	CIW	Carnegie Institution of Washington
1485	230212	Las Campanas Obs	Las Campanas Observatory
1485	53520	OCIW	Carnegie Institution of Washington, Observatories
1485	89017	CIW Geop Lab	Carnegie Institution of Washington, Geophysical Laboratory
1485	89019	CIW Dep Terr Magn	Carnegie Institution of Washington, Department of Terrestrial Magnetism
1485	A1126	CIW Argonne Natl Lab	Carnegie Institution of Washington, Argonne National Laboratory
	1490	Goucher Coll	Goucher College
	1491	Morgan St U	Morgan State University
1491	A3050	GESTAR	Goddard Earth Sciences Technology and Research
	1492	Towson U	Towson University
	1506	U Coll Bangor	University College of Bangor
1506	41865	Ctr Ecology Hydro	Center for Ecology and Hydrology
	1529	F Hoffmann Roche	F Hoffmann-La Roche Ltd
	1555	U Bath	University of Bath, UK
	1568	InterAmer U	Inter American University of Puerto Rico
	1587	AT&T	AT&T Inc
1587	5676	Bell Labs	Lucent Technologies, AT&T Bell Labs
	1596	Queens U Belfast	Queens University Belfast
1596	240524	Queens U Sch Math Phy	Queens University Belfast, School of Mathematics and Physics
	1632	W Wash U	Western Washington University
	1634	Notre Dame Namur U	Notre Dame de Namur University
	1643	MN St U Sys	Minnesota State University System
1643	38701	MN St U Bemidji	Minnesota State University, Bemidji
1643	38703	MN St U Mankato	Minnesota State University, Mankato
1643	38707	MN St U Winona	Minnesota State University, Winona
1643	5528	MN St U St Cloud	Minnesota State University, Saint Cloud
1643	5627	MN St U Moorhead	Minnesota State University, Moorhead
	1646	Bennington Coll	Bennington College
	1649	Curtin U	Curtin University
1649	168274	Curtin U Tech	Curtin University of Technology
1649	65204	Curtin U Malaysia	Curtin University of Technology, Malaysia
1649	A1676	Intl Ctr Rad Ast Res	International Centre for Radio Astronomy Research
1649	A1677	Curtin Dep Phy	Curtin University, Department of Physics
	1652	Berea Coll	Berea College
	1658	U Bergen	University of Bergen
1658	A1305	Bergen Dep Phy	University of Bergen, Department of Physics
	1666	LBNL	Lawrence Berkeley National Laboratory
1666	A1218	LBNL Phy Div	Lawrence Berkeley National Laboratory, Physics Division
	1671	Siemens AG	Siemens AG
	1674	Andrews U	Andrews University
	1687	Lehigh U	Lehigh University
	1701	Ferris St U	Ferris State University
	1705	MO St U Sys	Montana State University System
1705	33049	MO St U Billings	Montana State University, Billings
1705	33052	MO St U Bozeman	Montana State University, Bozeman
1711	167026	Indiana Dep Geo	Indiana University, Department of Geological Sciences
1711	A1094	Indiana Dep Ast	Indiana University, Department of Astronomy
1711	A1095	Indiana Dep Phy	Indiana University, Department of Physics
	1712	City Coll Birmingham	City College Birmingham, UK
	1722	Aston U	Aston University, UK
	1724	U Birmingham	University of Birmingham
1724	152867	Birmingham Sch Phy Ast	University of Birmingham, School of Physics and Astronomy
1724	152868	Birmingham Sch Geog Earth Env Sci	University of Birmingham, School of Geography, Earth and Environmental Sciences
	1740	Birmingham S Coll	Birmingham Southern College
	1755	UK Mnstry Def	UK Ministry of Defense
1755	64478	AWE	Atomic Weapons Establishment, UK
1755	A1765	DSIR	Department of Scientific and Industrial Research, UK
1755	A1766	Ryl Radar Estab	Royal Radar Establishment, UK
1755	A1767	Ryl Aero Estab	Royal Aerospace Establishment, UK
	1757	VA Poly Inst St U	Virginia Polytechnic Institute and State University
1757	A1807	Virginia Tech Dep Geos	Virginia Tech, Department of Geosciences
1757	A1808	Virginia Tech Dep Phy	Virginia Tech, Department of Physics
	1763	Simon Fraser U	Simon Fraser University, Canada
	1770	Illinois Wesleyan U	Illinois Wesleyan University
	1772	Indiana U Sys	Indiana University System
1772	1711	Indiana U 	Indiana University, Bloomington
1772	10668	IUPUI	Indiana University Purdue University at Indianapolis
1772	14684	Indiana U Kokomo	Indiana University, Kokomo
1772	14685	Indiana U Gary	Indiana University, Gary
1772	14686	Indiana U S Bend	Indiana University, South Bend
1772	14687	Indiana U N Albany	Indiana University Southeast
1772	4052	Indiana U Penn	Indiana University of Pennsylvania
	1773	Bloomsburg U Penn	Bloomsburg University of Pennsylvania
	1782	FL Atl U	Florida Atlantic University
	1791	Boise St U	Boise State University
	1808	BC	Boston College
1808	124351	BC Weston Obs	Boston College, Weston Observatory
1808	205707	BC Dep Geol Geop	Boston College, Department of Geology and Geophysics
1808	372741	BC Dep Chem	Boston College, Department of Chemistry
1808	A1000	BC Dep Phy	Boston College, Department of Physics
1808	A1001	BC Dep Earth Env Stud	Boston College, Department of Earth and Environmental Studies
1808	A1002	BC Inst Sci Res	Boston College, Institute for Scientific Research
	1809	MA St U Sys	Massachusetts State University System
1809	10646	Bridgewater St U	Bridgewater State University
1809	7043	Salem St U	Salem State University
	1810	Tufts U	Tufts University
1810	399918	Tufts Sch Eng	Tufts University, School of Engineering
1810	A1005	Tufts Dep Phy Ast	Tufts University, Department of Physics and Astronomy
	1812	Harvard U	Harvard University
1812	122439	Harvard Eng App Sci	Harvard University, Engineering and Applied Sciences
1812	124324	Blue Hill Met Obs	Blue Hill Meteorological Observatory
1812	164189	Harvard Dep Chem	Harvard University, Department of Chemistry
1812	1811	Harvard Med Sch	Harvard Medical School
1812	242596	Harvard Dep Phy	Harvard University, Department of Physics
1812	53785	Harvard Radcliffe Inst Adv Study	Harvard Radcliffe Institute for Advanced Study
1812	61814	CFA	Harvard Smithsonian Center for Astrophysics
1812	A1034	HCO	Harvard College Observatory
1812	A1035	Harvard Ctr Earth Plan Phy	Harvard University Center for Earth and Planetary Physics
1812	A1036	Harvard Dep Ast	Harvard University, Department of Astronomy
	1828	Wheelock Coll	Wheelock College
	1846	BU	Boston University
1846	168350	BU Dep Geog	Boston University, Department of Geography
1846	169392	BU Ctr Remote Sensing	Boston University, Center for Remote Sensing
1846	201920	BU Dep Phy	Boston University, Department of Physics
1846	310031	BU Dep Ast	Boston University, Department of Astronomy
1846	310035	BU Dep Earth Sci	Boston University, Department of Earth Sciences
	1848	Northeastern U	Northeastern University
1848	195089	Northeastern Dep Phy	Northeastern University, Department of Physics
	1850	Suffolk U	Suffolk University
1850	226251	Suffolk U Madrid	Suffolk University, Madrid
	1851	UMass Sys	University of Massachusetts System
1851	14707	UMass Amherst	UMass Amherst
1851	14708	UMass Boston	UMass Boston
1851	14709	UMass Dartmouth	UMass Dartmouth
1851	14710	UMass Lowell	UMass Lowell
	1861	Brigham Womens Hosp	Brigham and Womens Hospital
1877	116498	INSTAAR	University of Colorado, Institute of Arctic and Alpine Research
1877	129418	U CO Boulder Dep Aero Eng	University of Colorado, Boulder, Department of Aerospace and Engineering
1877	129421	CIRES	Cooperative Institute for Research in Environmental Sciences
1877	315568	U CO Boulder Dep Geo Sci	University of Colorado, Boulder, Department of Geological Sciences
1877	A1142	U CO Boulder Dep Astrop Plan Sci	University of Colorado, Boulder, Department of Astrophysical and Planetary Sciences
1877	A1143	U CO Boulder Lab Atmos Sp Phy	University of Colorado, Boulder, Laboratory for Atmospheric and Space Physics
1877	A1144	U CO Boulder Dep Phy	University of Colorado, Boulder, Department of Physics
1877	A1219	JILA	Joint Institute for Laboratory Astrophysics, Boulder
	1878	U CO Sys	University of Colorado System
1878	12226	U CO Denver	University of Colorado, Denver
1878	14676	U CO CO Springs	University of Colorado, Colorado Springs
1878	1877	U CO Boulder	University of Colorado, Boulder
	1879	NCAR	National Center for Atmospheric Research
